projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,18.5,2.85,69.6,153.0,420.0,0.33,469.0,12.0,0.0539,0,573
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,25.4,2.85,69.6,143.0,420.0,0.33,469.0,12.0,0.0539,0,982
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,25.5,2.85,69.6,149.0,420.0,0.33,469.0,12.0,0.0539,0,957
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,25.4,2.85,69.6,143.0,420.0,0.33,469.0,12.0,0.0539,0,457
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,25.5,2.85,69.6,149.0,420.0,0.33,469.0,12.0,0.0539,0,430
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,38.0,2.85,69.6,143.0,420.0,0.33,469.0,12.0,0.0539,0,806
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,12.6,2.85,69.6,149.0,420.0,0.33,469.0,12.0,0.0539,30,481
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.5,2.85,69.6,153.0,420.0,0.33,469.0,12.0,0.0539,0,567
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.5,2.85,69.6,153.0,420.0,0.33,469.0,12.0,0.0539,30,614
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,25.5,2.85,69.6,149.0,420.0,0.33,469.0,12.0,0.0539,0,664
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,38.0,2.85,69.6,143.0,420.0,0.33,469.0,12.0,0.0539,0,842
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,38.0,2.85,69.6,143.0,420.0,0.33,469.0,12.0,0.0539,0,635
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,56.3,2.85,69.6,146.0,420.0,0.33,469.0,12.0,0.0539,0,792
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,63.6,2.85,69.6,146.0,420.0,0.33,469.0,12.0,0.0539,0,847
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,12.5,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,30,511
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.5,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,30,652
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.4,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,30,608
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.5,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,598
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,40.5,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,938
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.3,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,563
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,25.5,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,671
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,40.5,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,872
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,50.1,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,782
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,52.8,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,809
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,56.3,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,843
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,50.4,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,738
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,50.8,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,737
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,50.9,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,732
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,51.1,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,734
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,51.2,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,734
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,51.4,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,735
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,52.8,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,753
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,56.3,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,783
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,75.3,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,938
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T721,77.5,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,962
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,18.5,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,568
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,18.4,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,589
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,25.3,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,960
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,25.4,2.85,69.6,147.0,420.0,0.33,469.0,12.0,0.0539,0,418
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,21.6,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,766
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,22.8,2.72,69.0,156.0,402.0,0.33,538.0,12.0,0.1116,0,903
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,22.9,2.72,69.0,156.0,402.0,0.33,538.0,12.0,0.1116,0,914
CAL50FSP,frag,12.6,13.4,7.85,260,AA2060-T8,24.4,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,987
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,22.9,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,427
20MMFSP,frag,19.9,53.78,7.85,260,AA2060-T8,23.0,2.72,69.0,159.0,402.0,0.33,538.0,12.0,0.1116,0,396
